filename	acq_time
eeg/sub-0001_ses-3_task-positive_run-01_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-02_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-03_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-04_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-05_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-06_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-07_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-08_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-09_eeg.edf	2023-06-20T18:33:13.000000Z
eeg/sub-0001_ses-3_task-positive_run-10_eeg.edf	2023-06-20T18:33:13.000000Z
